PLAYER_ID,PLAYER_NAME,TEAM,PROJECTED_AGE,PROJECTED_TS_PCT,HDI_LOW,HDI_HIGH
1642914,Javon Small,MEM,24.0,0.5965538573979544,0.5417546873741604,0.6530883946682544
1642967,John Poulakidas,DAL,24.0,0.596341110460416,0.5398185742568724,0.652903104539653
203897,Zach LaVine,SAC,32.0,0.596252707683205,0.5652288920874059,0.6255058739949818
1628378,Donovan Mitchell,CLE,30.0,0.5961939051410393,0.5670289736989241,0.6253764306172989
203482,Kelly Olynyk,SAS,36.0,0.5960309925148584,0.5658436227699558,0.6266071237579127
1642066,Myron Gardner,MIA,26.0,0.5955800258774633,0.5385660754034024,0.6505078806148333
1630191,Isaiah Stewart,DET,26.0,0.5953556260753394,0.5660054796196616,0.6241212770993114
1629012,Collin Sexton,CHI,28.0,0.5951599616400176,0.5650140282421452,0.625456761540665
1641869,Malachi Smith,BKN,27.0,0.5949746793236342,0.5388310915506718,0.6521482448612391
1642857,Kasparas Jakučionis,MIA,21.0,0.5946848777571329,0.540541891290713,0.6513111186947609
1630183,Jaden McDaniels,MIN,26.0,0.594606924656801,0.5646853408066378,0.624928061426949
1631166,Drew Timme,LAL,26.0,0.5941940887468812,0.5484450737408343,0.6398390964271733
1630192,Zeke Nnaji,DEN,26.0,0.5934450131594418,0.5634920947373439,0.6252796174540987
1642382,Branden Carlson,OKC,28.0,0.5933606389149755,0.5485601176500957,0.636899359620743
1641708,Amen Thompson,HOU,24.0,0.5932394604917902,0.5548197423000233,0.6296434147644193
1629611,Terance Mann,BKN,30.0,0.5931790073508973,0.5623126261758065,0.6220412084918303
1626164,Devin Booker,PHX,30.0,0.5927398204426569,0.5638026619556925,0.6241442684750317
1626204,Larry Nance Jr.,CLE,34.0,0.5910250786211432,0.5594805824646353,0.6209043191961361
1631128,Christian Braun,DEN,26.0,0.5909664457195625,0.5573750078117912,0.6239578062626938
1630604,E.J. Liddell,BKN,26.0,0.5909404848896859,0.5325084731723156,0.6446958203060593
1628969,Mikal Bridges,NYK,30.0,0.5909310485670651,0.5609554731768461,0.6219746091356808
1630162,Anthony Edwards,MIN,25.0,0.5908995285633707,0.5618375231036588,0.6229535593828087
1628384,OG Anunoby,NYK,29.0,0.5905327333994337,0.5594565071140327,0.6210669162147179
1627750,Jamal Murray,DEN,30.0,0.590324329265664,0.5596297485601341,0.6255162303373113
1641790,PJ Hall,CHA,25.0,0.5903072037689728,0.5359707639861084,0.6462911196185005
1642270,Donovan Clingan,POR,23.0,0.5903047680540975,0.5468783267204691,0.6332186017758469
1629111,Jock Landale,ATL,31.0,0.5902493372615236,0.5597787852778244,0.6207933424272944
203991,Clint Capela,HOU,33.0,0.5899867763262507,0.5595687463324469,0.6205637621759978
1630578,Alperen Sengun,HOU,24.0,0.58973980180449,0.5566602490481317,0.6180603628345894
