PLAYER_ID,SEASON_START_YEAR,TS_PCT,AGE,SEASON_FGA_EST,PREV_TS_PCT,PREV_SEASON
1626196,2022,0.555,29.0,552.5,0.573,2021.0
1626196,2023,0.573,30.0,348.3,0.555,2022.0
1626204,2022,0.649,30.0,305.5,0.59,2021.0
1626204,2023,0.653,31.0,244.0,0.649,2022.0
1626204,2024,0.632,32.0,156.0,0.653,2023.0
1626204,2025,0.505,33.0,122.5,0.632,2024.0
1626220,2022,0.538,30.0,592.8,0.608,2021.0
1626220,2023,0.548,31.0,537.1999999999999,0.538,2022.0
1626220,2024,0.585,32.0,570.0,0.548,2023.0
1626220,2025,0.596,33.0,624.0,0.585,2024.0
1626224,2022,0.579,28.0,531.3000000000001,0.563,2021.0
1626224,2023,0.601,29.0,381.59999999999997,0.579,2022.0
1626246,2022,0.71,34.0,58.9,0.615,2021.0
1627732,2023,0.571,27.0,73.5,0.559,2022.0
1627732,2024,0.539,28.0,224.4,0.571,2023.0
1627734,2022,0.668,27.0,940.1,0.637,2021.0
1627734,2023,0.637,28.0,1066.0,0.668,2022.0
1627734,2024,0.655,29.0,896.0,0.637,2023.0
1627734,2025,0.59,30.0,220.4,0.655,2024.0
1627736,2022,0.531,26.0,939.6,0.544,2021.0
1627736,2023,0.603,27.0,718.9,0.531,2022.0
1627736,2024,0.59,28.0,1074.2,0.603,2023.0
1627739,2022,0.606,29.0,215.60000000000002,0.482,2021.0
1627739,2023,0.546,30.0,310.2,0.606,2022.0
1627739,2024,0.531,31.0,436.6,0.546,2023.0
1627739,2025,0.581,32.0,475.59999999999997,0.531,2024.0
1627741,2022,0.614,30.0,1040.0,0.548,2021.0
1627741,2023,0.578,31.0,848.4,0.614,2022.0
1627741,2024,0.56,32.0,787.1999999999999,0.578,2023.0
1627741,2025,0.568,33.0,326.40000000000003,0.56,2024.0
1627742,2022,0.582,25.0,837.0000000000001,0.554,2021.0
1627742,2023,0.578,26.0,1017.6,0.582,2022.0
1627742,2024,0.56,27.0,333.0,0.578,2023.0
1627742,2025,0.573,28.0,1285.8999999999999,0.56,2024.0
1627745,2022,0.719,28.0,86.10000000000001,0.701,2021.0
1627745,2023,0.659,29.0,70.2,0.719,2022.0
1627747,2022,0.546,28.0,740.0,0.525,2021.0
1627747,2023,0.524,29.0,822.8,0.546,2022.0
1627747,2024,0.582,30.0,601.6,0.524,2023.0
1627747,2025,0.518,31.0,390.0,0.582,2024.0
1627749,2022,0.54,26.0,1317.2,0.533,2021.0
1627749,2023,0.555,27.0,1466.4,0.54,2022.0
1627749,2024,0.494,28.0,492.90000000000003,0.555,2023.0
1627749,2025,0.58,29.0,182.0,0.494,2024.0
1627750,2023,0.586,27.0,985.3,0.571,2022.0
1627750,2024,0.584,28.0,1118.8999999999999,0.586,2023.0
1627750,2025,0.622,29.0,1357.5,0.584,2024.0
1627751,2022,0.635,27.0,619.1999999999999,0.613,2021.0
1627751,2023,0.653,28.0,380.0,0.635,2022.0
1627751,2024,0.641,29.0,581.4,0.653,2023.0
1627751,2025,0.698,30.0,308.2,0.641,2024.0
1627752,2022,0.597,29.0,378.0,0.589,2021.0
1627752,2023,0.579,30.0,569.4,0.597,2022.0
1627752,2024,0.613,31.0,512.0,0.579,2023.0
1627752,2025,0.617,32.0,189.79999999999998,0.613,2024.0
1627759,2022,0.581,26.0,1380.2,0.574,2021.0
1627759,2023,0.58,27.0,1253.0,0.581,2022.0
1627759,2024,0.555,28.0,1115.1,0.58,2023.0
1627759,2025,0.573,29.0,1540.7,0.555,2024.0
1627763,2022,0.615,30.0,730.3000000000001,0.557,2021.0
1627763,2023,0.56,31.0,495.29999999999995,0.615,2022.0
1627763,2024,0.544,32.0,240.0,0.56,2023.0
1627777,2022,0.61,30.0,499.20000000000005,0.594,2021.0
1627777,2023,0.583,31.0,631.4,0.61,2022.0
1627777,2024,0.607,32.0,616.1999999999999,0.583,2023.0
1627780,2022,0.701,30.0,68.2,0.679,2021.0
1627780,2023,0.621,31.0,184.8,0.701,2022.0
1627780,2024,0.635,32.0,297.59999999999997,0.621,2023.0
1627780,2025,0.632,33.0,416.1,0.635,2024.0
1627783,2022,0.565,29.0,1313.5,0.565,2021.0
1627783,2023,0.601,30.0,1272.0,0.565,2022.0
1627783,2024,0.599,31.0,1185.6,0.601,2023.0
1627783,2025,0.562,32.0,1153.2,0.599,2024.0
1627788,2022,0.552,25.0,111.0,0.502,2021.0
1627788,2023,0.519,26.0,77.0,0.552,2022.0
1627814,2022,0.607,30.0,451.4,0.561,2021.0
1627823,2022,0.504,27.0,113.4,0.542,2021.0
1627824,2025,0.543,30.0,314.90000000000003,0.616,2024.0
1627826,2022,0.661,26.0,516.8,0.66,2021.0
1627826,2023,0.671,27.0,516.8,0.661,2022.0
1627826,2024,0.641,28.0,944.0,0.671,2023.0
1627826,2025,0.622,29.0,480.0,0.641,2024.0
1627827,2022,0.523,30.0,501.59999999999997,0.604,2021.0
1627827,2023,0.546,31.0,510.0,0.523,2022.0
1627827,2024,0.604,32.0,434.70000000000005,0.546,2023.0
1627827,2025,0.452,33.0,133.20000000000002,0.604,2024.0
1627832,2022,0.54,29.0,1110.9,0.552,2021.0
1627832,2023,0.568,30.0,1014.7,0.54,2022.0
1627832,2024,0.515,31.0,762.0,0.568,2023.0
1627854,2022,0.497,29.0,82.5,0.574,2021.0
1627863,2022,0.6,30.0,196.0,0.555,2021.0
1627863,2023,0.575,31.0,105.4,0.6,2022.0
1627884,2022,0.597,26.0,230.4,0.633,2021.0
1627884,2023,0.592,27.0,494.0,0.597,2022.0
1627884,2024,0.609,28.0,585.1999999999999,0.592,2023.0
1627884,2025,0.6,29.0,380.0,0.609,2024.0
1627936,2022,0.588,29.0,288.09999999999997,0.528,2021.0
1627936,2023,0.613,30.0,539.6,0.588,2022.0
1627936,2024,0.568,31.0,313.2,0.613,2023.0
1627936,2025,0.54,32.0,302.40000000000003,0.568,2024.0
1628365,2022,0.564,25.0,678.0,0.517,2021.0
1628365,2023,0.492,26.0,326.8,0.564,2022.0
1628365,2024,0.452,27.0,67.2,0.492,2023.0
1628366,2025,0.432,28.0,175.0,0.524,2024.0
1628368,2022,0.599,25.0,1328.6,0.549,2021.0
